sku,name,brand,price,currency,category,url,url_se
602196,BG-50 WE,Casio,4066,SEK,TA,https://www.thomann.se/casio_bg_50_we.htm,https://www.thomann.se/casio_bg_50_we.htm
517392,CT-S1WE,Casio,2277,SEK,TA,https://www.thomann.se/casio_ct_s1we.htm,https://www.thomann.se/casio_ct_s1we.htm
558746,SA-81,Casio,725,SEK,TA,https://www.thomann.se/casio_sa_81.htm,https://www.thomann.se/casio_sa_81.htm
420257,AP-270 WE Celviano,Casio,8599,SEK,TA,https://www.thomann.se/casio_ap_270_we_celviano.htm,https://www.thomann.se/casio_ap_270_we_celviano.htm
420262,PX-770 BK Privia,Casio,7899,SEK,TA,https://www.thomann.se/casio_px_770_bk_privia.htm,https://www.thomann.se/casio_px_770_bk_privia.htm
528204,PX-S1100WE,Casio,4999,SEK,TA,https://www.thomann.se/casio_px_s1100we.htm,https://www.thomann.se/casio_px_s1100we.htm
535692,CDP-S110 BK Set,Casio,3768,SEK,TA,https://www.thomann.se/casio_cdp_s110_bk_set.htm,https://www.thomann.se/casio_cdp_s110_bk_set.htm
602191,BG-50 BK,Casio,4111,SEK,TA,https://www.thomann.se/casio_bg_50_bk.htm,https://www.thomann.se/casio_bg_50_bk.htm
457813,CS-68 PBK Privia Stand,Casio,1277,SEK,TA,https://www.thomann.se/casio_cs_68_pbk_privia_stand.htm,https://www.thomann.se/casio_cs_68_pbk_privia_stand.htm
241839,AD-A12150LW,Casio,315,SEK,TA,https://www.thomann.se/casio_ad_a12150lw.htm,https://www.thomann.se/casio_ad_a12150lw.htm
252463,AD-E95100,Casio,185,SEK,TA,https://www.thomann.se/casio_ad_e95100.htm,https://www.thomann.se/casio_ad_e95100.htm
601232,AP-S200 WE,Casio,10590,SEK,TA,https://www.thomann.se/casio_ap_s200_we.htm,https://www.thomann.se/casio_ap_s200_we.htm
420265,PX-870 BK Privia,Casio,9999,SEK,TA,https://www.thomann.se/casio_px_870_bk_privia.htm,https://www.thomann.se/casio_px_870_bk_privia.htm
551706,PX-S6000,Casio,14190,SEK,TA,https://www.thomann.se/casio_px_s6000.htm,https://www.thomann.se/casio_px_s6000.htm
420253,AP-270 BK Celviano,Casio,8444,SEK,TA,https://www.thomann.se/casio_ap_270_bk_celviano.htm,https://www.thomann.se/casio_ap_270_bk_celviano.htm
474954,GP-310 BK Celviano,Casio,28490,SEK,TA,https://www.thomann.se/casio_gp_310_bk_celviano.htm,https://www.thomann.se/casio_gp_310_bk_celviano.htm
420264,PX-770 WE Privia,Casio,8299,SEK,TA,https://www.thomann.se/casio_px_770_we_privia.htm,https://www.thomann.se/casio_px_770_we_privia.htm
517394,CT-S1RD,Casio,2299,SEK,TA,https://www.thomann.se/casio_ct_s1rd.htm,https://www.thomann.se/casio_ct_s1rd.htm
457814,CS-68 PWE Privia Stand,Casio,1366,SEK,TA,https://www.thomann.se/casio_cs_68_pwe_privia_stand.htm,https://www.thomann.se/casio_cs_68_pwe_privia_stand.htm
470731,CT-S100,Casio,977,SEK,TA,https://www.thomann.se/casio_ct_s100.htm,https://www.thomann.se/casio_ct_s100.htm
457013,SC-800P,Casio,1285,SEK,TA,https://www.thomann.se/casio_sc_800p.htm,https://www.thomann.se/casio_sc_800p.htm
470737,CT-S200 BK,Casio,1419,SEK,TA,https://www.thomann.se/casio_ct_s200_bk.htm,https://www.thomann.se/casio_ct_s200_bk.htm
535912,CT-S1000V,Casio,2799,SEK,TA,https://www.thomann.se/casio_ct_s1000v.htm,https://www.thomann.se/casio_ct_s1000v.htm
517396,CT-S400,Casio,2333,SEK,TA,https://www.thomann.se/casio_ct_s400.htm,https://www.thomann.se/casio_ct_s400.htm
585059,AP-S450WE,Casio,13590,SEK,TA,https://www.thomann.se/casio_ap_s450we.htm,https://www.thomann.se/casio_ap_s450we.htm
551705,PX-S5000,Casio,8599,SEK,TA,https://www.thomann.se/casio_px_s5000.htm,https://www.thomann.se/casio_px_s5000.htm
535648,CDP-S360,Casio,5190,SEK,TA,https://www.thomann.se/casio_cdp_s360.htm,https://www.thomann.se/casio_cdp_s360.htm
517388,WU-BT10,Casio,765,SEK,ZU,https://www.thomann.se/casio_wu_bt10.htm,https://www.thomann.se/casio_wu_bt10.htm
601202,AP-300 BN,Casio,12090,SEK,TA,https://www.thomann.se/casio_ap_300_bn.htm,https://www.thomann.se/casio_ap_300_bn.htm
585025,AP-750 BK,Casio,18990,SEK,TA,https://www.thomann.se/casio_ap_750_bk.htm,https://www.thomann.se/casio_ap_750_bk.htm
433525,AP-470 WE Celviano,Casio,10290,SEK,TA,https://www.thomann.se/casio_ap_470_we_celviano.htm,https://www.thomann.se/casio_ap_470_we_celviano.htm
535650,CDP-S160 BK,Casio,5799,SEK,TA,https://www.thomann.se/casio_cdp_s160_bk.htm,https://www.thomann.se/casio_cdp_s160_bk.htm
517397,LK-S450,Casio,2899,SEK,TA,https://www.thomann.se/casio_lk_s450.htm,https://www.thomann.se/casio_lk_s450.htm
546886,SA-51,Casio,577,SEK,TA,https://www.thomann.se/casio_sa_51.htm,https://www.thomann.se/casio_sa_51.htm
546884,SA-50,Casio,544,SEK,TA,https://www.thomann.se/casio_sa_50.htm,https://www.thomann.se/casio_sa_50.htm
470744,CT-S200 RD,Casio,1369,SEK,TA,https://www.thomann.se/casio_ct_s200_rd.htm,https://www.thomann.se/casio_ct_s200_rd.htm
625803,PX-S7000 HM Deluxe Bundle,Casio,23490,SEK,TA,https://www.thomann.se/casio_px_s7000_hm_deluxe_bundle.htm,https://www.thomann.se/casio_px_s7000_hm_deluxe_bundle.htm
601231,AP-S200 BK,Casio,9799,SEK,TA,https://www.thomann.se/casio_ap_s200_bk.htm,https://www.thomann.se/casio_ap_s200_bk.htm
470743,CT-S200 WE,Casio,1529,SEK,TA,https://www.thomann.se/casio_ct_s200_we.htm,https://www.thomann.se/casio_ct_s200_we.htm
431514,CT-X700,Casio,2333,SEK,TA,https://www.thomann.se/casio_ct_x700.htm,https://www.thomann.se/casio_ct_x700.htm
434203,CT-X5000,Casio,3990,SEK,TA,https://www.thomann.se/casio_ct_x5000.htm,https://www.thomann.se/casio_ct_x5000.htm
622093,AP-750 WE,Casio,21790,SEK,TA,https://www.thomann.se/casio_ap_750_we.htm,https://www.thomann.se/casio_ap_750_we.htm
420456,PX-870 BN Privia,Casio,10290,SEK,TA,https://www.thomann.se/casio_px_870_bn_privia.htm,https://www.thomann.se/casio_px_870_bn_privia.htm
433514,AP-470 BK Celviano,Casio,10390,SEK,TA,https://www.thomann.se/casio_ap_470_bk_celviano.htm,https://www.thomann.se/casio_ap_470_bk_celviano.htm
250370,CTK-240,Casio,929,SEK,TA,https://www.thomann.se/casio_ctk_240.htm,https://www.thomann.se/casio_ctk_240.htm
585046,AP-550 BK,Casio,15490,SEK,TA,https://www.thomann.se/casio_ap_550_bk.htm,https://www.thomann.se/casio_ap_550_bk.htm
434201,CT-X800,Casio,2799,SEK,TA,https://www.thomann.se/casio_ct_x800.htm,https://www.thomann.se/casio_ct_x800.htm
601233,AP-S200 BN,Casio,12190,SEK,TA,https://www.thomann.se/casio_ap_s200_bn.htm,https://www.thomann.se/casio_ap_s200_bn.htm
420256,AP-270 BN Celviano,Casio,8699,SEK,TA,https://www.thomann.se/casio_ap_270_bn_celviano.htm,https://www.thomann.se/casio_ap_270_bn_celviano.htm
528396,PX-S1100 BK Deluxe Bundle,Casio,8599,SEK,TA,https://www.thomann.se/casio_px_s1100_bk_deluxe_bundle.htm,https://www.thomann.se/casio_px_s1100_bk_deluxe_bundle.htm
535695,CDP-S110 BK Deluxe Bundle,Casio,5444,SEK,TA,https://www.thomann.se/casio_cdp_s110_bk_deluxe_bundle.htm,https://www.thomann.se/casio_cdp_s110_bk_deluxe_bundle.htm
558736,SA-80,Casio,742,SEK,TA,https://www.thomann.se/casio_sa_80.htm,https://www.thomann.se/casio_sa_80.htm
622094,AP-750 BN,Casio,21190,SEK,TA,https://www.thomann.se/casio_ap_750_bn.htm,https://www.thomann.se/casio_ap_750_bn.htm
420263,PX-770 BN Privia,Casio,7799,SEK,TA,https://www.thomann.se/casio_px_770_bn_privia.htm,https://www.thomann.se/casio_px_770_bn_privia.htm
552282,CS-90P,Casio,3869,SEK,TA,https://www.thomann.se/casio_cs_90p.htm,https://www.thomann.se/casio_cs_90p.htm
517400,CT-S400 Set,Casio,2555,SEK,TA,https://www.thomann.se/casio_ct_s400_set.htm,https://www.thomann.se/casio_ct_s400_set.htm
473426,CT-S100 Set,Casio,1433,SEK,TA,https://www.thomann.se/casio_ct_s100_set.htm,https://www.thomann.se/casio_ct_s100_set.htm
